name,year,month,day,position,tier
Josh Allen,1996,5,21,QB,1
Jalen Hurts,1998,8,7,QB,1
Patrick Mahomes II,1995,9,17,QB,1
Lamar Jackson,1997,1,7,QB,1
Anthony Richardson,2002,5,22,QB,2
C.J. Stroud,2001,10,3,QB,2
Kyler Murray,1997,8,7,QB,2
Joe Burrow,1996,12,10,QB,3
Dak Prescott,1993,7,29,QB,3
Jordan Love,1998,11,2,QB,3
CeeDee Lamb,1998,4,8,WR,1
Tyreek Hill,1994,3,1,WR,1
Ja'Marr Chase,2000,3,1,WR,1
Justin Jefferson,1999,6,16,WR,1
Amon-Ra St. Brown,1999,10,24,WR,1
A.J. Brown,1997,7,30,WR,1
Garrett Wilson,2000,6,22,WR,1
Puka Nacua,2001,5,29,WR,2
Deebo Samuel Sr.,1996,1,15,WR,2
Mike Evans,1993,8,21,WR,2
Marvin Harrison Jr.,2002,8,11,WR,3
Drake London,2001,7,24,WR,3
Nico Collins,1999,3,19,WR,3
Brandon Aiyuk,1998,3,17,WR,3
Chris Olave,2000,6,27,WR,3
DK Metcalf,1997,12,14,WR,3
Sam LaPorta,2001,1,12,TE,1
Travis Kelce,1989,10,5,TE,1
Mark Andrews,1995,9,6,TE,1
Trey McBride,1999,11,22,TE,2
George Kittle,1993,10,9,TE,2
Kyle Pitts,2000,10,6,TE,2
Dalton Kincaid,1999,10,18,TE,2
Jake Ferguson,1999,1,18,TE,3
Evan Engram,1994,9,2,TE,3
David Njoku,1996,7,10,TE,3
Christian McCaffrey,1996,6,7,RB,1
Breece Hall,2001,5,31,RB,1
Bijan Robinson,2002,1,30,RB,1
Jonathan Taylor,1999,1,19,RB,1
Derrick Henry,1994,1,4,RB,2
Saquon Barkley,1997,2,9,RB,2
Jahmyr Gibbs,2022,3,20,RB,2
Kyren Williams,2000,8,26,RB,2
Travis Etienne Jr.,1999,1,26,RB,2
Isiah Pacheco,1999,3,2,RB,2
De'Von Achane,2001,10,13,RB,3
Josh Jacobs,1998,2,11,RB,3
Kenneth Walker III,2000,10,20,RB,3
Justin Tucker,1989,11,21,K,1
Brandon Aubrey,1995,3,14,K,1
Harrison Butker,1995,7,14,K,1
Ka'imi Fairbairn,1994,1,29,K,2
Jason Sanders,1995,11,16,K,2
Jake Moody,1999,11,23,K,2
Jake Elliott,1995,2,21,K,2
Younghoe Koo,1994,8,3,K,2
Tyler Bass,1997,2,14,K,2
Evan McPherson,1999,7,21,K,2
Foyesade Oluokun,1995,8,2,D,1
Roquan Smith,1997,4,8,D,1
Zaire Franklin,1996,7,2,D,1
T.J. Edwards,1996,8,12,D,1
Bobby Okereke,1996,7,29,D,1
Fred Warner,1996,11,19,D,1
Bobby Wagner,1990,7,27,D,2
Nick Bolton,2000,3,10,D,2
Alex Singleton,1993,12,7,D,2
Azeez Al-Shaair,1997,8,4,D,2
Ernest Jones IV,1999,11,22,D,2
Terrel Bernard,1999,5,7,D,2
