name,position,tier,sun_sign,moon_sign,rising_sign
Josh Allen,QB,1,Gem,Can,Vir
Jalen Hurts,QB,1,Leo,Aqu,Sco
Patrick Mahomes II,QB,1,Vir,Can,Sag
Lamar Jackson,QB,1,Cap,Sag,Can
Anthony Richardson,QB,2,Gem,Lib,Lib
C.J. Stroud,QB,2,Lib,Ari,Cap
Kyler Murray,QB,2,Leo,Lib,Sco
Joe Burrow,QB,3,Sag,Sag,Gem
Dak Prescott,QB,3,Leo,Sag,Sco
Jordan Love,QB,3,Sco,Ari,Pis
CeeDee Lamb,WR,1,Ari,Vir,Leo
Tyreek Hill,WR,1,Pis,Sco,Leo
Ja'Marr Chase,WR,1,Pis,Cap,Leo
Justin Jefferson,WR,1,Gem,Leo,Lib
Amon-Ra St. Brown,WR,1,Sco,Ari,Aqu
A.J. Brown,WR,1,Leo,Gem,Sco
Garrett Wilson,WR,1,Can,Pis,Lib
Puka Nacua,WR,2,Gem,Vir,Lib
Deebo Samuel Sr.,WR,2,Cap,Sco,Can
Mike Evans,WR,2,Leo,Lib,Sag
Marvin Harrison Jr.,WR,3,Leo,Vir,Sco
Drake London,WR,3,Leo,Vir,Sco
Nico Collins,WR,3,Pis,Ari,Leo
Brandon Aiyuk,WR,3,Pis,Sco,Leo
Chris Olave,WR,3,Can,Tau,Lib
DK Metcalf,WR,3,Sag,Gem,Gem
Sam LaPorta,TE,1,Cap,Vir,Can
Travis Kelce,TE,1,Lib,Sag,Cap
Mark Andrews,TE,1,Vir,Aqu,Sag
Trey McBride,TE,2,Sco,Tau,Tau
George Kittle,TE,2,Lib,Can,Cap
Kyle Pitts,TE,2,Lib,Cap,Cap
Dalton Kincaid,TE,2,Lib,Aqu,Cap
Jake Ferguson,TE,3,Cap,Aqu,Can
Evan Engram,TE,3,Vir,Can,Sag
David Njoku,TE,3,Can,Tau,Sco
Christian McCaffrey,RB,1,Gem,Pis,Lib
Breece Hall,RB,1,Gem,Lib,Lib
Bijan Robinson,RB,1,Aqu,Vir,Can
Jonathan Taylor,RB,1,Cap,Aqu,Can
Derrick Henry,RB,2,Cap,Lib,Can
Saquon Barkley,RB,2,Aqu,Pis,Leo
Jahmyr Gibbs,RB,2,Pis,Lib,Leo
Kyren Williams,RB,2,Vir,Can,Sag
Travis Etienne Jr.,RB,2,Aqu,Gem,Can
Isiah Pacheco,RB,2,Pis,Vir,Leo
De'Von Achane,RB,3,Lib,Vir,Cap
Josh Jacobs,RB,3,Aqu,Leo,Leo
Kenneth Walker III,RB,3,Lib,Leo,Aqu
Justin Tucker,K,1,Sco,Vir,Tau
Brandon Aubrey,K,1,Pis,Leo,Leo
Harrison Butker,K,1,Can,Aqu,Sco
Ka'imi Fairbairn,K,2,Aqu,Vir,Can
Jason Sanders,K,2,Sco,Vir,Ari
Jake Moody,K,2,Sag,Gem,Tau
Jake Elliott,K,2,Pis,Sco,Leo
Younghoe Koo,K,2,Leo,Gem,Sco
Tyler Bass,K,2,Aqu,Tau,Leo
Evan McPherson,K,2,Can,Sco,Sco
Foyesade Oluokun,D,1,Leo,Lib,Sco
Roquan Smith,D,1,Ari,Tau,Leo
Zaire Franklin,D,1,Can,Aqu,Lib
T.J. Edwards,D,1,Leo,Leo,Sco
Bobby Okereke,D,1,Leo,Cap,Sco
Fred Warner,D,1,Sco,Pis,Tau
Bobby Wagner,D,2,Leo,Lib,Sco
Nick Bolton,D,2,Pis,Tau,Leo
Alex Singleton,D,2,Sag,Vir,Gem
Azeez Al-Shaair,D,2,Leo,Leo,Sco
Ernest Jones IV,D,2,Sco,Tau,Tau
Terrel Bernard,D,2,Tau,Aqu,Vir
